CASE,QUESTNNR,MODE,STARTED,DE01,DE02,DE03,DE04,DEMO_4,DEMO_3,DEMO_6,DEMO_5,DEMO_9,DEMO_7,DEMO_7_1,DEMO_8,DEMO_8_1,DEMO_1,DEMO_2,BJC_01,BJC_02,BJC_03,BJC_04,BJC_05,BJC_06,BJC_07,BJC_08,BJC_09,BJC_10,BJC_11,BJC_12,STH_01,STH_02,STH_03,STH_04,STH_05,STH_06,STH_07,STH_08,MNC_01,VBC_01,VBC_02,VBC_03,VBC_04,VBC_05,VBC_06,VBC_07,VBC_08,VC_01,VC_02,group,identity_threat,religious_endorse,ATT_CHECK,BL_01,BL_02,BL_03,BL_04,BL_05,TIME001,TIME002,TIME003,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
98,base,interview,7/4/2020 6:55,1,2,1,1,1,20,2,2,6,1,,6,Madiun,2,5,5,5,5,5,5,5,5,5,1,1,5,5,1,7,7,2,5,2,7,5,2,5,5,5,5,5,5,3,5,2,2,3,-1,1,4,2,3,3,3,2,11,10,44,,33,12,,4,30,22,6,50,17,4,243,,7/4/2020 6:59,1,0,15,15,0,0,2.1,77
103,base,interview,7/4/2020 7:04,1,2,1,1,2,40,5,4,4,1,,1,,1,5,7,7,7,7,7,7,7,7,4,5,6,5,5,5,7,4,7,4,1,3,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,4,4,5,4,4,38,11,70,,47,34,,13,46,37,9,60,27,46,438,,7/4/2020 7:11,1,0,15,15,0,0,1.1,9
107,base,interview,7/4/2020 7:13,1,2,1,1,1,22,15,2,6,16,,1,,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,3,1,1,5,6,1,5,5,5,5,2,5,5,5,2,-1,-1,4,1,1,5,3,2,23,21,59,,48,,33,11,71,51,15,100,24,49,505,,7/4/2020 7:21,1,0,15,15,0,0,1.02,8
110,base,interview,7/4/2020 7:14,1,2,1,1,1,31,5,3,1,1,,6,Banyumas,1,5,6,4,3,4,4,2,3,3,2,1,1,2,1,2,5,1,2,1,1,1,1,3,1,2,1,2,2,1,1,6,6,1,1,1,4,5,5,5,5,5,8,22,134,52,117,92,,29,116,61,14,118,69,122,884,,7/4/2020 7:30,1,0,15,15,0,0,0.72,13
111,base,interview,7/4/2020 7:14,1,2,1,1,1,45,2,4,2,1,,1,,2,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,7,7,7,7,7,5,7,5,7,3,4,4,2,-1,-1,4,1,1,5,3,5,140,54,112,,74,,21,11,172,53,12,144,52,14,859,,7/4/2020 7:29,1,0,15,15,0,0,0.84,8
112,base,interview,7/4/2020 7:16,1,2,1,1,1,20,10,4,6,16,,2,,3,5,3,3,2,5,2,2,1,7,1,1,2,3,1,1,2,1,1,5,1,1,1,3,1,1,1,1,1,1,1,7,7,2,-1,-1,4,3,4,3,5,2,14,10,64,,44,,17,6,34,27,8,81,51,31,387,,7/4/2020 7:22,1,0,15,15,0,0,1.48,25
114,base,interview,7/4/2020 7:16,1,2,1,1,1,24,10,4,2,1,,1,,1,4,6,6,6,4,4,6,6,6,3,3,3,4,4,3,7,4,6,3,2,4,4,3,3,3,3,3,3,3,3,6,6,1,1,1,4,3,3,3,3,3,13,8,59,13,159,33,,15,149,15,10,75,22,43,614,,7/4/2020 7:26,1,0,15,15,0,0,1.37,27
118,base,interview,7/4/2020 7:17,1,2,1,1,1,33,10,5,2,16,,1,,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,5,5,5,5,5,28,12,53,11,265,8,,13,97,15,6,71,24,7,610,,7/4/2020 7:27,1,0,15,15,0,0,1.65,43
126,base,interview,7/4/2020 7:22,1,2,1,1,2,52,2,2,4,1,,6,Klaten,3,6,-1,3,4,4,4,4,3,4,4,4,4,7,7,7,7,6,6,3,3,6,1,6,1,4,1,1,1,1,1,6,6,4,1,-1,4,2,2,5,2,5,297,20,189,89,86,,91,43,146,149,21,162,99,72,1202,,7/4/2020 7:46,1,0,15,15,0,0,0.41,0
127,base,interview,7/4/2020 7:22,1,2,1,1,2,24,4,4,3,1,,1,,1,5,5,5,5,5,5,6,5,5,5,4,5,5,4,2,5,4,5,3,4,4,4,4,4,4,4,4,4,5,2,4,4,4,1,-1,4,3,3,4,1,3,25,17,93,39,47,,3,22,72,32,9,77,47,20,503,,7/4/2020 7:30,1,0,15,15,0,0,1.18,42
130,base,interview,7/4/2020 7:25,1,2,1,1,2,22,10,2,6,1,,1,,1,6,3,4,3,1,1,2,2,-1,1,1,2,1,4,3,6,1,3,1,1,1,4,1,1,3,1,1,1,1,1,4,4,4,1,-1,4,4,2,2,2,2,100,11,136,71,69,,61,15,58,58,6,58,12,92,747,,7/4/2020 7:38,1,0,15,15,0,0,0.97,11
133,base,interview,7/4/2020 7:32,1,2,1,1,1,30,10,3,1,1,,6,Depok,2,6,7,7,7,6,6,7,7,7,5,7,-1,7,4,6,4,6,7,6,4,5,5,6,4,3,4,4,4,5,5,3,2,4,1,-1,4,3,2,4,3,3,58,29,88,20,66,,43,29,58,62,8,100,88,8,657,,7/4/2020 7:43,1,0,15,15,0,0,0.98,14
149,base,interview,7/4/2020 8:00,1,2,1,1,2,31,15,4,1,1,,1,,1,4,4,5,4,4,3,3,3,3,4,4,3,4,1,1,4,4,4,-1,-1,-1,3,6,2,2,1,2,2,1,4,6,6,1,1,1,4,2,2,4,2,3,4,16,92,51,79,25,,13,131,150,29,192,29,41,852,,7/4/2020 8:14,1,0,15,15,0,0,0.88,30
155,base,interview,7/4/2020 8:08,1,2,1,1,1,23,11,4,2,1,,6,Ponorogo,1,-1,4,6,4,3,1,3,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,2,1,1,2,1,1,7,7,3,-1,1,4,5,5,5,4,4,184,9,96,,46,37,,7,57,57,4,152,26,40,715,,7/4/2020 8:20,1,0,15,15,0,0,1.07,12
156,base,interview,7/4/2020 8:10,1,2,1,1,1,39,5,4,2,7,,6,Denpasar,1,5,3,3,4,3,2,3,4,5,-1,2,2,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,5,5,22,14,110,,56,37,,23,49,61,11,128,74,31,616,,7/4/2020 8:21,1,0,15,15,0,0,0.87,4
157,base,interview,7/4/2020 8:12,1,2,1,1,1,21,0,2,6,1,,6,Mojokerto,1,3,4,3,5,5,3,3,6,5,4,4,4,4,1,7,6,4,5,1,1,1,2,3,4,2,4,5,5,3,1,6,6,3,-1,1,4,4,4,5,4,4,17,8,60,,55,863,,11,61,16,7,75,15,14,361,,7/4/2020 8:32,1,0,15,15,0,0,1.5,29
162,base,interview,7/4/2020 8:16,1,2,1,1,2,28,4.5,5,1,1,,1,,1,5,4,3,4,3,3,4,4,3,3,2,2,4,2,3,3,2,3,2,1,1,6,3,4,5,1,2,2,2,2,6,6,3,-1,1,4,4,4,4,4,3,25,15,129,,100,35,,11,58,41,8,129,44,36,631,,7/4/2020 8:26,1,0,15,15,0,0,0.9,3
168,base,interview,7/4/2020 8:24,1,2,1,1,2,43,8,4,1,1,,1,,1,5,5,5,6,5,6,6,6,6,2,6,6,6,6,7,5,6,6,7,7,7,6,7,6,6,6,7,7,7,7,4,4,2,-1,-1,4,1,3,5,2,5,45,20,156,,77,,53,34,77,90,11,134,72,109,878,,7/4/2020 8:39,1,0,15,15,0,0,0.6,0
173,base,interview,7/4/2020 8:34,1,2,1,1,2,32,16,4,4,1,,2,,1,4,5,5,5,4,5,4,4,6,3,3,4,4,1,1,3,1,1,1,1,1,4,3,1,2,1,1,1,1,1,6,6,2,-1,-1,4,2,3,3,3,2,147,11,85,,93,,48,25,75,82,7,67,40,57,737,,7/4/2020 8:46,1,0,15,15,0,0,0.8,4
174,base,interview,7/4/2020 8:36,1,2,1,1,1,20,1,2,6,1,,1,,1,6,7,7,6,2,5,6,7,6,4,5,4,3,7,7,7,7,7,6,4,4,4,6,2,6,4,4,5,6,7,4,4,4,1,-1,4,1,5,5,3,5,36,24,336,23,114,,33,17,125,68,15,123,25,9,948,,7/4/2020 8:52,1,0,15,15,0,0,0.93,12
176,base,interview,7/4/2020 8:50,1,2,1,1,2,27,3.5,4,2,1,,1,,1,5,5,3,6,2,6,5,6,5,1,2,2,5,1,6,2,7,4,2,1,1,7,5,1,2,1,1,1,7,1,7,7,3,-1,1,4,3,4,2,1,4,56,10,168,,86,110,,23,103,70,9,67,50,49,713,,7/4/2020 9:03,1,0,15,15,0,0,0.73,3
177,base,interview,7/4/2020 8:55,1,2,1,1,2,23,2,4,6,1,,6,Tuban,1,4,5,5,5,5,5,5,5,5,-1,4,3,6,6,1,7,7,4,5,2,2,2,5,1,7,1,4,7,4,1,4,4,1,1,1,4,2,4,4,1,1,63,13,127,7,75,4,,7,39,45,7,63,15,28,493,,7/4/2020 9:03,1,0,15,15,0,0,1.49,43
183,base,interview,7/4/2020 9:02,1,2,1,1,1,30,2,5,2,9,,1,,1,3,7,5,5,4,5,5,5,5,5,5,5,5,7,5,6,7,7,7,2,2,6,7,7,7,7,7,7,7,7,6,6,4,1,-1,4,1,1,3,1,1,18,13,78,16,73,,70,16,41,32,6,76,25,21,485,,7/4/2020 9:10,1,0,15,15,0,0,1.25,16
192,base,interview,7/4/2020 9:29,1,2,1,1,2,24,3,4,6,1,,1,,3,5,3,3,3,3,3,4,4,4,4,5,6,5,3,4,6,4,5,5,4,2,3,5,2,4,4,4,5,2,3,6,6,1,1,1,4,3,3,4,3,4,21,11,51,14,56,50,,10,46,30,10,67,24,20,410,,7/4/2020 9:36,1,0,15,15,0,0,1.35,21
193,base,interview,7/4/2020 9:32,1,2,1,1,1,22,4,4,2,1,,6,Lumajang,1,5,4,3,7,3,5,2,5,7,2,6,6,5,7,7,7,7,7,7,4,4,4,-1,5,4,4,3,5,4,4,4,4,1,1,1,4,1,4,5,4,5,22,8,40,6,36,3,,4,24,20,6,47,34,4,254,,7/4/2020 9:36,1,0,15,15,0,0,2.17,103
195,base,interview,7/4/2020 9:34,1,2,1,1,2,23,5,4,2,1,,1,,3,6,4,1,6,7,5,7,7,7,6,5,7,7,7,7,7,7,6,7,5,3,7,6,7,7,7,5,6,4,7,4,4,3,-1,1,4,1,3,4,2,3,54,12,89,,58,21,,9,48,50,9,85,55,23,513,,7/4/2020 9:43,1,0,15,15,0,0,1.03,6
202,base,interview,7/4/2020 9:55,1,2,1,1,2,56,5,4,1,1,,1,,1,6,7,7,7,7,7,7,7,7,4,4,4,4,7,4,7,5,7,7,1,7,2,6,2,1,2,4,5,3,1,2,3,4,1,-1,4,3,1,4,1,4,67,17,128,72,75,,23,35,145,55,9,103,35,52,816,,7/4/2020 10:09,1,0,15,15,0,0,0.73,1
206,base,interview,7/4/2020 10:04,1,2,1,1,2,29,5,5,1,1,,1,,2,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,1,2,1,3,1,2,2,4,2,3,3,1,3,2,2,-1,-1,4,5,4,4,4,2,20,16,78,,34,,8,12,55,27,6,35,14,7,312,,7/4/2020 10:09,1,0,15,15,0,0,1.8,50
220,base,interview,7/4/2020 10:25,1,2,1,1,2,18,1,2,5,1,,1,,2,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,-1,1,4,3,1,5,1,3,23,20,93,,52,15,,20,91,40,8,139,72,61,634,,7/4/2020 10:36,1,0,15,15,0,0,0.91,5
243,base,interview,7/4/2020 11:43,1,2,1,1,1,20,20,2,6,1,,6,Depok,1,5,5,3,4,2,2,4,5,5,3,3,4,5,5,4,7,3,6,3,1,3,4,2,1,1,1,1,2,1,2,6,6,2,-1,-1,4,3,4,5,2,4,61,14,76,,50,,34,11,55,44,7,61,18,50,481,,7/4/2020 11:51,1,0,15,15,0,0,1.1,9
246,base,interview,7/4/2020 11:44,1,2,1,1,1,24,3.5,4,2,1,,6,Bekasi,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,7,3,4,4,1,4,1,1,1,1,1,1,1,1,1,7,7,2,-1,-1,4,3,3,3,1,3,185,13,160,,58,,26,20,65,43,228,75,25,32,710,,7/4/2020 11:59,1,0,15,15,0,0,0.84,3
248,base,interview,7/4/2020 11:44,1,2,1,1,1,32,3,4,2,9,,6,Palembang,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,3,1,1,7,5,3,3,1,3,2,2,1,7,7,2,-1,-1,4,5,5,5,5,5,9,9,96,,60,,115,43,70,19,8,106,30,93,573,,7/4/2020 11:55,1,0,15,15,0,0,1.12,20
252,base,interview,7/4/2020 11:46,1,2,1,1,1,25,4.2,2,2,1,,6,Kab. Kotawaringin Timur,1,3,7,4,1,1,1,7,7,3,1,-1,-1,1,7,7,7,1,1,1,1,1,4,7,3,3,3,3,3,1,1,4,4,1,1,1,4,5,5,5,5,5,89,29,233,67,280,98,,32,121,105,12,191,100,107,1388,,7/4/2020 12:10,1,0,15,15,0,0,0.4,0
253,base,interview,7/4/2020 11:47,1,2,1,1,2,27,12,4,2,1,,2,,3,4,7,3,4,2,6,2,1,1,1,2,2,1,1,1,3,1,1,1,1,1,4,3,1,3,2,2,2,2,1,7,7,2,-1,-1,4,3,2,4,3,4,41,10,75,,115,,23,18,99,49,5,73,20,8,536,,7/4/2020 11:56,1,0,15,15,0,0,1.25,22
255,base,interview,7/4/2020 11:50,1,2,1,1,2,50,0,4,4,2,,6,Tuban,1,4,7,7,7,4,4,4,7,7,4,7,4,7,4,4,7,1,7,7,4,4,7,4,4,4,4,1,7,4,7,1,1,1,1,1,4,1,2,4,1,4,163,23,147,92,262,48,,21,122,156,15,158,154,84,1445,,7/4/2020 12:14,1,0,15,15,0,0,0.43,0
263,base,interview,7/4/2020 12:08,1,2,1,1,1,31,8,4,2,1,,1,,1,5,6,6,6,5,4,6,6,6,1,3,3,4,3,3,6,1,5,2,2,1,2,2,1,1,1,1,1,2,1,7,7,3,-1,1,4,4,4,4,4,4,30,9,76,,55,17,,13,70,41,8,112,32,29,492,,7/4/2020 12:16,1,0,15,15,0,0,1.09,6
269,base,interview,7/4/2020 12:17,1,2,1,1,2,22,4,2,6,1,,6,Gresik,1,5,5,4,4,4,4,6,5,5,4,1,4,6,5,7,5,6,6,1,1,1,4,6,4,4,4,4,4,4,4,6,6,4,1,-1,4,3,1,4,2,4,50,12,94,47,64,,34,15,55,34,7,73,29,21,535,,7/4/2020 12:25,1,0,15,15,0,0,1.04,6
278,base,interview,7/4/2020 12:37,1,2,1,1,2,37,5,2,4,1,,6,Karanganyar,1,-1,5,2,6,2,1,3,5,5,6,4,2,3,7,5,7,7,2,1,1,1,1,7,2,4,1,1,4,2,1,7,7,1,1,1,4,5,5,1,5,5,8,10,788,9,67,6,,10,55,22,16,49,17,7,373,,7/4/2020 12:55,1,0,15,15,0,0,1.77,59
281,base,interview,7/4/2020 12:38,1,2,1,1,2,27,4,4,2,1,,6,Probolinggo,1,1,3,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,6,6,2,-1,-1,4,1,1,1,1,4,10,8,108,,42,,63,16,52,38,4,100,40,74,555,,7/4/2020 12:48,1,0,15,15,0,0,1.22,20
287,base,interview,7/4/2020 12:39,1,2,1,1,1,22,2,2,6,1,,4,,1,2,6,6,7,5,4,6,5,5,4,5,6,5,5,5,5,7,6,7,7,3,5,4,4,4,3,3,4,4,4,4,4,4,1,-1,4,1,2,4,2,3,11,11,36,5,30,,4,6,21,25,11,53,17,17,247,,7/4/2020 12:43,1,0,15,15,0,0,2.14,88
289,base,interview,7/4/2020 12:40,1,2,1,1,1,30,6,3,1,1,,1,,1,3,7,7,7,5,5,5,7,7,1,1,1,4,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,3,3,3,3,3,4,7,75,4,47,,42,23,54,49,8,70,27,50,460,,7/4/2020 12:47,1,0,15,15,0,0,1.37,64
291,base,interview,7/4/2020 12:42,1,2,1,1,1,37,7,4,1,1,,6,Kediri ,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,7,-1,-1,4,1,-1,4,1,1,4,1,4,30,16,81,17,78,,13,9,60,46,16,125,31,18,540,,7/4/2020 12:51,1,0,15,15,0,0,1.19,14
294,base,interview,7/4/2020 12:43,1,2,1,1,1,36,20,5,6,1,,6,Lyon,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,3,7,6,7,4,2,6,3,1,1,1,4,1,-1,4,3,3,5,2,3,23,16,119,17,83,,4,21,60,56,7,111,36,13,566,,7/4/2020 12:53,1,0,15,15,0,0,1.26,36
300,base,interview,7/4/2020 12:48,1,2,1,1,2,42,13,4,1,1,,6,Palembang,1,5,2,4,3,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,4,5,5,5,5,5,9,8,37,8,28,3,,16,34,31,8,72,52,20,326,,7/4/2020 12:54,1,0,15,15,0,0,1.83,67
304,base,interview,7/4/2020 12:50,1,2,1,1,1,25,15,4,6,1,,6,Pontianak,1,5,1,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,7,7,1,1,1,4,5,5,5,5,5,43,10,56,52,66,26,,24,40,56,9,117,44,49,592,,7/4/2020 13:00,1,0,15,15,0,0,0.93,6
305,base,interview,7/4/2020 12:50,1,2,1,1,2,34,14,4,2,1,,1,,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,4,4,4,4,1,9,8,52,21,21,7,,7,18,50,6,58,21,6,284,,7/4/2020 12:55,1,0,15,15,0,0,2.08,68
307,base,interview,7/4/2020 12:51,1,2,1,1,2,26,4,4,6,1,,1,,1,3,5,4,5,4,5,5,5,4,3,3,3,3,1,4,5,1,3,1,1,1,3,2,1,2,1,2,1,1,1,7,7,3,-1,1,4,5,5,5,4,5,40,10,219,,55,14,,9,100,42,8,86,26,7,616,,7/4/2020 13:01,1,0,15,15,0,0,1.22,22
317,base,interview,7/4/2020 13:03,1,2,1,1,2,35,20,5,4,1,,5,,1,5,6,5,6,2,2,2,4,5,1,1,2,2,3,2,7,7,4,2,1,1,4,3,1,2,1,1,1,1,1,6,6,4,1,-1,4,5,5,5,5,3,23,11,147,38,47,,22,13,48,85,5,76,23,26,564,,7/4/2020 13:12,1,0,15,15,0,0,1.15,11
318,base,interview,7/4/2020 13:08,1,2,1,1,1,34,1,4,2,1,,6,Jombang,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,5,5,14,13,109,,52,41,,32,78,33,9,275,66,18,740,,7/4/2020 13:21,1,0,15,15,0,0,1,11
321,base,interview,7/4/2020 13:10,1,2,1,1,2,24,5,3,4,1,,1,,1,5,4,5,5,5,5,6,2,4,4,2,3,7,7,5,7,1,6,3,1,1,4,6,1,4,5,5,4,1,4,6,6,2,-1,-1,4,2,2,4,3,3,35,11,102,,35,,44,12,42,34,7,69,43,90,524,,7/4/2020 13:19,1,0,15,15,0,0,1.07,9
326,base,interview,7/4/2020 13:16,1,2,1,1,1,27,5,4,2,16,,6,Semarang,1,3,4,3,4,2,1,5,3,5,2,2,5,6,1,1,5,1,2,1,4,1,4,3,2,4,2,5,3,4,1,4,4,3,-1,1,4,3,3,3,3,3,312,20,151,,81,69,,38,68,66,13,115,35,133,824,,7/4/2020 13:34,1,0,15,15,0,0,0.58,0
332,base,interview,7/4/2020 13:28,1,2,1,1,2,23,7,4,6,6,,6,Pekanbaru,1,3,5,7,6,1,1,2,2,3,1,1,1,1,1,5,1,1,1,1,1,1,5,2,1,2,1,1,1,1,4,6,4,3,-1,1,4,5,5,5,2,5,27,10,138,,59,36,,7,57,36,8,105,29,34,546,,7/4/2020 13:37,1,0,15,15,0,0,1.08,8
336,base,interview,7/4/2020 13:33,1,2,1,1,1,39,9,5,1,1,,6,Gunungkidul,1,5,6,6,6,4,6,6,6,6,1,4,4,6,2,4,6,2,6,4,5,4,4,6,4,5,4,4,3,3,4,4,4,2,-1,-1,4,2,2,4,2,4,124,12,99,,117,,65,14,67,33,9,127,25,40,732,,7/4/2020 13:45,1,0,15,15,0,0,0.84,3
337,base,interview,7/4/2020 13:34,1,2,1,1,1,42,2.5,4,1,1,,6,Lumajang,1,5,7,5,6,4,4,6,7,5,4,6,4,5,5,1,7,1,4,3,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,3,3,3,3,3,22,21,89,34,82,26,,13,57,40,10,120,30,15,559,,7/4/2020 13:43,1,0,15,15,0,0,1.05,7
339,base,interview,7/4/2020 13:35,1,2,1,1,2,22,11,4,3,1,,6,Madiun,4,3,7,6,5,2,4,5,4,5,4,2,4,5,5,1,7,6,5,1,1,1,3,6,3,3,2,3,4,4,4,6,7,4,1,-1,4,3,4,4,1,1,119,13,109,53,63,,42,24,60,69,19,156,26,40,793,,7/4/2020 13:48,1,0,15,15,0,0,0.74,1
342,base,interview,7/4/2020 13:37,1,2,1,1,1,33,14,5,3,1,,4,,1,5,5,5,5,5,6,5,6,5,3,5,5,5,2,3,7,7,6,6,2,5,4,4,5,5,6,6,3,5,4,7,7,2,-1,-1,4,4,2,5,1,3,91,13,67,,43,,42,11,73,59,12,92,47,60,610,,7/4/2020 13:47,1,0,15,15,0,0,0.88,4
347,base,interview,7/4/2020 13:46,1,2,1,1,2,35,10,3,2,1,,2,,1,1,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,4,5,6,10,206,,83,59,,20,80,49,7,132,45,51,748,,7/4/2020 13:58,1,0,15,15,0,0,0.94,22
348,base,interview,7/4/2020 13:46,1,2,1,1,1,22,2,4,2,1,,6,Sidoarjo,1,3,5,2,2,2,1,3,2,1,1,1,1,1,2,6,5,1,3,2,1,1,1,1,1,1,1,1,2,1,1,5,5,1,1,1,4,4,2,4,4,3,43,18,768,38,736,44,,10,67,49,8,87,38,46,606,,7/4/2020 14:18,1,0,15,15,0,0,0.75,1
349,base,interview,7/4/2020 13:46,1,2,1,1,2,35,50,5,2,16,,2,,1,5,1,3,5,4,4,6,6,5,5,1,1,3,3,7,7,3,3,4,4,3,3,4,1,3,1,1,1,1,-1,4,4,3,-1,1,4,3,5,5,5,5,42,12,144,,75,34,,38,151,50,12,87,29,21,695,,7/4/2020 13:58,1,0,15,15,0,0,0.83,3
